pmid,mesh_code,mesh_name,is_major_topic
22592399,D001943,Breast Neoplasms,N
22592399,D005260,Female,N
22592399,D006801,Humans,N
22592399,D008875,Middle Aged,N
22592399,D011379,Prognosis,N
21996567,D006801,Humans,N
21996567,D002648,Child,N
21984362,D000368,Aged,N
21984362,D008875,Middle Aged,N
23692143,D000900,Anti-Bacterial Agents,N
23692143,D000368,Aged,N
21984362,D005260,Female,N
23692143,D005260,Female,N
21984362,D000328,Adult,N
21984362,D006801,Humans,N
23692143,D015994,Incidence,N
21984362,D000369,"Aged, 80 and over",N
23692143,D005500,Follow-Up Studies,N
23692143,D006801,Humans,N
23692143,D008297,Male,N
23692143,D012189,Retrospective Studies,N
23692143,D012307,Risk Factors,N
21914707,D006801,Humans,N
21914710,D005260,Female,N
21914710,D006801,Humans,N
21914710,D000328,Adult,N
21914707,D008875,Middle Aged,N
21914707,D055815,Young Adult,N
21914707,D008297,Male,N
21914707,D015995,Prevalence,N
21914707,D000328,Adult,N
23692587,D004305,"Dose-Response Relationship, Drug",N
21914707,D000293,Adolescent,N
23692587,D005260,Female,N
23692587,D008297,Male,N
21914707,D000367,Age Factors,N
23692587,D006801,Humans,N
22548776,D006801,Humans,N
22548776,D000328,Adult,N
22548776,D008875,Middle Aged,N
22548776,D008175,Lung Neoplasms,N
22548776,D005260,Female,N
23695492,D007231,"Infant, Newborn",N
23695492,D000293,Adolescent,N
23695492,D002675,"Child, Preschool",N
23695492,D002648,Child,N
23695492,D007223,Infant,N
23695492,D006801,Humans,N
23695492,D011795,Surveys and Questionnaires,N
23695541,D003430,Cross-Sectional Studies,N
23695541,D005260,Female,N
23695541,D006801,Humans,N
23695541,D011446,Prospective Studies,N
23695541,D008297,Male,N
23695541,D011795,Surveys and Questionnaires,N
21807621,D008875,Middle Aged,N
21807621,D015203,Reproducibility of Results,N
21807621,D000328,Adult,N
21807621,D012737,Sex Factors,N
21807621,D011795,Surveys and Questionnaires,N
21807621,D005260,Female,N
21807621,D006801,Humans,N
22186384,D003430,Cross-Sectional Studies,N
22186384,D008875,Middle Aged,N
22186390,D005260,Female,N
22526223,D000368,Aged,N
22526223,D000369,"Aged, 80 and over",N
22526223,D000818,Animals,N
22186384,D000369,"Aged, 80 and over",N
22186384,D000368,Aged,N
22186384,D000293,Adolescent,N
22186384,D006801,Humans,N
22186384,D005260,Female,N
22186384,D011795,Surveys and Questionnaires,N
22186384,D055815,Young Adult,N
22186393,D008297,Male,N
22186390,D055815,Young Adult,N
22186390,D000293,Adolescent,N
22186390,D006801,Humans,N
22186390,D008297,Male,N
22186393,D006801,Humans,N
22186393,D005260,Female,N
22186393,D000328,Adult,N
22186397,D011795,Surveys and Questionnaires,N
22186393,D008875,Middle Aged,N
22186393,D012737,Sex Factors,N
22186397,D008297,Male,N
22186393,D000367,Age Factors,N
22186397,D007223,Infant,N
22186397,D002648,Child,N
22186397,D005260,Female,N
22186397,D006801,Humans,N
23697838,D006801,Humans,N
22186402,D002675,"Child, Preschool",N
22186402,D000328,Adult,N
22186402,D000293,Adolescent,N
22186402,D005260,Female,N
22186402,D008875,Middle Aged,N
22186402,D006801,Humans,N
22186402,D055815,Young Adult,N
22186402,D007223,Infant,N
22186390,D012307,Risk Factors,N
22186390,D008875,Middle Aged,N
22186390,D000328,Adult,N
22186384,D008297,Male,N
22186384,D000328,Adult,N
21807621,D008297,Male,N
22199153,D005260,Female,N
22199153,D000367,Age Factors,N
22199153,D000369,"Aged, 80 and over",N
22199153,D008875,Middle Aged,N
22199153,D006801,Humans,N
22199153,D012737,Sex Factors,N
22199157,D002648,Child,N
22199156,D000293,Adolescent,N
22199156,D006801,Humans,N
22199156,D002648,Child,N
22199157,D006801,Humans,N
22199157,D000293,Adolescent,N
22199157,D015203,Reproducibility of Results,N
22199157,D005260,Female,N
22199159,D008875,Middle Aged,N
22199159,D000369,"Aged, 80 and over",N
22199159,D000368,Aged,N
22199159,D000328,Adult,N
22199159,D001786,Blood Glucose,N
22199159,D006801,Humans,N
22199159,D008297,Male,N
22199159,D005260,Female,N
22199153,D008297,Male,N
22199153,D000368,Aged,N
23700081,D011795,Surveys and Questionnaires,N
23700080,D045744,"Cell Line, Tumor",N
23700080,D017209,Apoptosis,N
23700080,D006801,Humans,N
23700080,D015398,Signal Transduction,N
23700305,D017209,Apoptosis,N
23700305,D049109,Cell Proliferation,N
23700305,D015153,"Blotting, Western",N
23700305,D001943,Breast Neoplasms,N
23700305,D004247,DNA,N
23700305,D006801,Humans,N
23700305,D005260,Female,N
23700305,D020133,Reverse Transcriptase Polymerase Chain Reaction,N
23700305,D012333,"RNA, Messenger",N
22247106,D008297,Male,N
22247106,D005260,Female,N
22247106,D000367,Age Factors,N
22247106,D000293,Adolescent,N
22247106,D000328,Adult,N
22247106,D015203,Reproducibility of Results,N
22247106,D012737,Sex Factors,N
22247106,D011795,Surveys and Questionnaires,N
22247106,D055815,Young Adult,N
22247106,D008875,Middle Aged,N
22247106,D006801,Humans,N
21914707,D005260,Female,N
21984362,D008297,Male,N
23701178,D006801,Humans,N
23702277,D015994,Incidence,N
23702277,D000818,Animals,N
23702314,D008297,Male,N
23702314,D002417,Cattle,N
23702314,D000818,Animals,N
22345304,D008297,Male,N
22345304,D015994,Incidence,N
22345304,D005260,Female,N
22345304,D006801,Humans,N
22357550,D015995,Prevalence,N
22357550,D011795,Surveys and Questionnaires,N
22357550,D008297,Male,N
22357550,D005260,Female,N
22357550,D006801,Humans,N
22396322,D006801,Humans,N
22396322,D001943,Breast Neoplasms,N
22396322,D008297,Male,N
22396322,D000368,Aged,N
23704114,D000328,Adult,N
23704114,D006801,Humans,N
23704114,D008297,Male,N
23704114,D016896,Treatment Outcome,N
22426562,D011247,Pregnancy,N
22426562,D005260,Female,N
22426562,D000293,Adolescent,N
22426562,D008297,Male,N
22426562,D006801,Humans,N
22426562,D011795,Surveys and Questionnaires,N
22426562,D055815,Young Adult,N
22426565,D000293,Adolescent,N
22426565,D000328,Adult,N
22426565,D055815,Young Adult,N
22426565,D006801,Humans,N
22426565,D005260,Female,N
22426565,D008297,Male,N
22426565,D015995,Prevalence,N
22426562,D000328,Adult,N
22500033,D005260,Female,N
22500032,D000367,Age Factors,N
22500033,D000328,Adult,N
22500032,D006801,Humans,N
22500033,D006801,Humans,N
22500033,D055815,Young Adult,N
22500033,D008875,Middle Aged,N
22500033,D015995,Prevalence,N
22500033,D000293,Adolescent,N
22526223,D005260,Female,N
22526223,D002417,Cattle,N
23710892,D006801,Humans,N
22526223,D006801,Humans,N
22526223,D008875,Middle Aged,N
22526223,D016896,Treatment Outcome,N
22526223,D008297,Male,N
22535549,D005260,Female,N
22535549,D000293,Adolescent,N
22535548,D015331,Cohort Studies,N
22535548,D000368,Aged,N
22535548,D008297,Male,N
23711015,D002675,"Child, Preschool",N
23711015,D000293,Adolescent,N
22535548,D005260,Female,N
22535548,D006801,Humans,N
23711015,D015995,Prevalence,N
23711015,D006801,Humans,N
22535548,D008875,Middle Aged,N
23711015,D002648,Child,N
22535549,D006801,Humans,N
22535549,D008297,Male,N
22535549,D000328,Adult,N
22535549,D055815,Young Adult,N
23711113,D008297,Male,N
23711113,D000369,"Aged, 80 and over",N
23711113,D000368,Aged,N
23711113,D000293,Adolescent,N
23711113,D000328,Adult,N
23711113,D016015,Logistic Models,N
23711113,D005260,Female,N
23711113,D006801,Humans,N
23711113,D008875,Middle Aged,N
23711113,D055815,Young Adult,N
24320678,D009154,Mutation,Y
23713816,D006801,Humans,N
23715636,D001921,Brain,N
23715636,D000818,Animals,N
23715636,D006801,Humans,N
23715636,D051379,Mice,N
23715636,D009474,Neurons,N
23718749,D005260,Female,N
23718749,D006801,Humans,N
23718749,D008297,Male,N
23719618,D006801,Humans,N
23719618,D016896,Treatment Outcome,N
23720227,D003001,"Cloning, Molecular",N
23720227,D004926,Escherichia coli,N
26040043,D006801,Humans,N
24499277,D000293,Adolescent,N
24499320,D005260,Female,N
23721257,D000369,"Aged, 80 and over",N
23721257,D000368,Aged,N
23721257,D000328,Adult,N
23721257,D000293,Adolescent,N
23721257,D006801,Humans,N
