src,dest,weight
D000028,D000022,3927
D000223,D000203,4003
D000236,D000230,4232
D000255,D000227,4541
D000255,D000242,3145
D000255,D000244,10354
D000255,D000249,3802
D000255,D000251,7135
D000262,D000242,7803
D000293,D000005,3043
D000293,D000007,3204
D000293,D000015,5390
D000293,D000028,4135
D000293,D000038,3251
D000293,D000059,3608
D000293,D000063,10278
D000293,D000124,4471
D000293,D000152,3462
D000293,D000161,4692
D000293,D000163,7453
D000293,D000203,6828
D000293,D000208,30190
D000293,D000223,17093
D000293,D000230,4673
D000293,D000236,4701
D000293,D000273,4898
D000293,D000280,3475
D000293,D000284,10913
D000293,D000287,3945
D000294,D000293,23343
D000297,D000293,12042
D000305,D000293,6427
D000305,D000302,3480
D000315,D000311,4417
D000324,D000293,3281
D000324,D000302,3385
D000324,D000305,3793
D000324,D000311,6302
D000328,D000005,9551
D000328,D000007,5478
D000328,D000009,3243
D000328,D000013,5135
D000328,D000015,8623
D000328,D000017,3184
D000328,D000022,6823
D000328,D000028,6962
D000328,D000038,8304
D000328,D000041,3434
D000328,D000042,3413
D000328,D000054,3032
D000328,D000058,4018
D000328,D000059,4276
D000328,D000062,5690
D000328,D000063,16582
D000328,D000069283,3468
D000328,D000069285,3460
D000328,D000077,3915
D000328,D000082,3817
D000328,D000124,3374
D000328,D000152,4192
D000328,D000161,14781
D000328,D000163,23220
D000328,D000172,4103
D000328,D000200,6321
D000328,D000203,18358
D000328,D000206,3275
D000328,D000208,67199
D000328,D000222,10092
D000328,D000223,35298
D000328,D000230,40038
D000328,D000236,17037
D000328,D000242,3239
D000328,D000267,3209
D000328,D000273,14960
D000328,D000276,4162
D000328,D000279,4871
D000328,D000280,7440
D000328,D000281,3187
D000328,D000284,36356
D000328,D000287,10009
D000328,D000293,1165233
D000328,D000294,4650
D000328,D000305,13656
D000328,D000310,7747
D000328,D000311,5099
D000328,D000319,7450
D000328,D000324,8931
D000336,D000280,3134
D000336,D000328,4375
D000337,D000328,3845
D000339,D000293,5754
D000339,D000328,14640
D000342,D000293,3542
D000342,D000328,4909
D000349,D000328,3694
D000367,D000203,3270
D000367,D000208,5457
D000367,D000293,123570
D000367,D000328,185128
D000368,D000005,6215
D000368,D000038,4565
D000368,D000058,10074
D000368,D000063,6569
D000368,D000068258,3119
D000368,D000069283,3223
D000368,D000077,3047
D000368,D000163,3464
D000368,D000203,30791
D000368,D000208,43721
D000368,D000223,16524
D000368,D000230,55853
D000368,D000236,13102
D000368,D000273,6616
D000368,D000280,3216
D000368,D000284,20104
D000368,D000287,5674
D000368,D000293,504372
D000368,D000305,6860
D000368,D000310,3986
D000368,D000319,7271
D000368,D000328,1494431
D000368,D000339,3917
D000368,D000367,143742
D000369,D000058,5384
D000369,D000203,15012
D000369,D000208,12181
D000369,D000223,5489
D000369,D000230,17801
D000369,D000236,3426
D000369,D000284,4798
D000369,D000293,147481
D000369,D000328,432685
D000369,D000367,44589
D000369,D000368,672040
D000374,D000293,5954
D000374,D000328,7091
D000375,D000293,20833
D000375,D000328,48747
D000375,D000367,13594
D000375,D000368,71811
D000375,D000369,28042
D000383,D000328,3120
D000393,D000328,3687
D000395,D000328,3693
D000397,D000393,5701
D000402,D000328,4673
D000403,D000328,4323
D000410,D000293,3062
D000410,D000328,8451
D000410,D000368,3909
D000419,D000328,4804
D000419,D000368,3526
D000420,D000328,3105
D000428,D000293,14615
D000428,D000328,26884
D000428,D000367,5233
D000428,D000368,11646
D000431,D000293,3237
D000431,D000328,11399
D000431,D000368,3938
D000431,D000428,8128
D000435,D000328,4903
D000435,D000431,3914
D000437,D000293,10284
D000437,D000328,30184
D000437,D000367,3354
D000437,D000368,10007
D000437,D000428,10213
D000437,D000431,7294
D000450,D000328,6295
D000465,D000293,7786
D000465,D000328,25197
D000465,D000368,16596
D000465,D000369,6476
D000469,D000135,5717
D000469,D000293,3207
D000469,D000328,8050
D000469,D000368,5292
D000469,D000410,3858
D000483,D000293,6662
D000483,D000328,18859
D000483,D000368,11659
D000483,D000369,4039
D000485,D000293,5688
D000485,D000328,9226
D000505,D000328,3154
D000509,D000328,4073
D000531,D000328,4319
D000544,D000328,5852
D000544,D000368,36044
D000544,D000369,18284
D000544,D000375,5236
D000553,D000293,6309
D000553,D000328,14283
D000553,D000368,9353
D000554,D000328,4356
D000556,D000328,3825
D000568,D000328,4997
D000595,D000199,3535
D000595,D000251,3680
D000595,D000255,4431
D000595,D000293,3193
D000595,D000328,9407
D000595,D000368,3736
D000595,D000465,4456
D000595,D000483,7000
D000596,D000328,6948
D000596,D000368,3137
D000596,D000409,3492
D000596,D000595,13552
D000649,D000328,3120
D000653,D000328,3865
